pathway_namespace	pathway_identifier	pathway_name	snps
kegg	path:hsa00010	Glycolysis / Gluconeogenesis - Homo sapiens (human)	rs991316,rs4607517,rs2896526,rs3757840,rs560887,rs1789891,rs9664222,rs1402837,rs1789924,rs7072268,rs730497
kegg	path:hsa00020	Citrate cycle (TCA cycle) - Homo sapiens (human)	rs6792584,rs7122539
kegg	path:hsa00030	Pentose phosphate pathway - Homo sapiens (human)	
kegg	path:hsa00040	Pentose and glucuronate interconversions - Homo sapiens (human)	rs887829,rs4148325,rs6742078,rs11892031
kegg	path:hsa00051	Fructose and mannose metabolism - Homo sapiens (human)	rs7072268,rs9378688
kegg	path:hsa00052	Galactose metabolism - Homo sapiens (human)	rs3757840,rs560887,rs1402837,rs4607517,rs7072268,rs730497
kegg	path:hsa00053	Ascorbate and aldarate metabolism - Homo sapiens (human)	rs887829,rs4148325,rs6742078,rs11892031
kegg	path:hsa00061	Fatty acid biosynthesis - Homo sapiens (human)	
kegg	path:hsa00062	Fatty acid elongation - Homo sapiens (human)	rs3734398
kegg	path:hsa00071	Fatty acid degradation - Homo sapiens (human)	rs7374394,rs1789891,rs991316,rs1789924,rs2286963
kegg	path:hsa00072	Synthesis and degradation of ketone bodies - Homo sapiens (human)	
kegg	path:hsa00100	Steroid biosynthesis - Homo sapiens (human)	rs1412444,rs2248359,rs2645424
kegg	path:hsa00120	Primary bile acid biosynthesis - Homo sapiens (human)	
kegg	path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	rs9923231
kegg	path:hsa00140	Steroid hormone biosynthesis - Homo sapiens (human)	rs887829,rs2470893,rs2899472,rs17115100,rs12367822,rs2305707,rs6742078,rs4148325,rs11892031,rs2472304
kegg	path:hsa00190	Oxidative phosphorylation - Homo sapiens (human)	rs3800569
kegg	path:hsa00220	Arginine biosynthesis - Homo sapiens (human)	rs2807278,rs4795067
kegg	path:hsa00230	Purine metabolism - Homo sapiens (human)	rs10510829,rs1348582,rs2877716,rs10510837,rs947583,rs12418204,rs11611208,rs16861990,rs10052657,rs7924176,rs702543,rs873917,rs263238,rs10841496,rs6791644,rs1823068,rs2601828,rs385893,rs1588265,rs10493389,rs11143230
kegg	path:hsa00232	Caffeine metabolism - Homo sapiens (human)	rs1495741,rs2472304
kegg	path:hsa00240	Pyrimidine metabolism - Homo sapiens (human)	rs873917,rs4657482,rs16861990,rs11637235,rs470119,rs2074955
kegg	path:hsa00250	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	rs37369
