pathway_namespace	pathway_identifier	pathway_name	snps
reactome	R-HSA-164843	2-LTR circle formation	rs7742369,rs1776897
reactome	R-HSA-73843	5-Phosphoribose 1-diphosphate biosynthesis	
reactome	R-HSA-1971475	A tetrasaccharide linker sequence is required for GAG synthesis	rs1064395,rs1574192,rs2352028,rs16946160,rs1008953,rs9523762,rs8002779,rs310501
reactome	R-HSA-5619084	ABC transporter disorders	rs3905000,rs2515629,rs5215,rs2575876,rs4299376,rs12686004,rs6756629,rs5219,rs9357155,rs552976,rs16856332,rs6544713,rs831571,rs4149268
reactome	R-HSA-1369062	ABC transporters in lipid homeostasis	rs6544713,rs3764650,rs425215,rs4299376,rs6756629
reactome	R-HSA-382556	ABC-family proteins mediated transport	rs6544713,rs1926657,rs5215,rs425215,rs3764650,rs4299376,rs5219,rs4148441,rs831571,rs9357155,rs4148546,rs6756629
reactome	R-HSA-9033807	ABO blood group biosynthesis	rs8176746,rs495828,rs505922,rs657152,rs602662,rs504963
reactome	R-HSA-418592	ADP signalling through P2Y purinoceptor 1	rs291353,rs11880198
reactome	R-HSA-392170	ADP signalling through P2Y purinoceptor 12	rs291353
reactome	R-HSA-198323	AKT phosphorylates targets in the cytosol	rs4132509,rs477895,rs1321311
reactome	R-HSA-198693	AKT phosphorylates targets in the nucleus	rs4660531,rs9480865,rs4132509,rs2755237,rs2153960
reactome	R-HSA-211163	AKT-mediated inactivation of FOXO1A	rs2755237,rs4132509
reactome	R-HSA-112122	ALKBH2 mediated reversal of alkylation damage	
reactome	R-HSA-112126	ALKBH3 mediated reversal of alkylation damage	
reactome	R-HSA-4839748	AMER1 mutants destabilize the destruction complex	rs11158493
reactome	R-HSA-163680	AMPK inhibits chREBP transcriptional activation activity	rs12230440,rs7795096,rs7805747,rs266717,rs1648707,rs3764640
reactome	R-HSA-5467333	APC truncation mutants are not K63 polyubiquitinated	
reactome	R-HSA-5467337	APC truncation mutants have impaired AXIN binding	rs11158493
reactome	R-HSA-179409	APC-Cdc20 mediated degradation of Nek2A	rs1493682,rs16912145
reactome	R-HSA-174143	APC/C-mediated degradation of cell cycle proteins	rs2431697,rs1493682,rs16912145,rs2069408,rs9357155,rs831571
reactome	R-HSA-174048	APC/C:Cdc20 mediated degradation of Cyclin B	rs16912145
reactome	R-HSA-174154	APC/C:Cdc20 mediated degradation of Securin	rs2431697,rs16912145,rs9357155,rs831571
reactome	R-HSA-176409	APC/C:Cdc20 mediated degradation of mitotic proteins	rs2431697,rs16912145,rs1493682,rs9357155,rs831571
reactome	R-HSA-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	rs2431697,rs16912145,rs9357155,rs831571
reactome	R-HSA-179419	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	rs1493682,rs16912145,rs9357155,rs831571
reactome	R-HSA-5649702	APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	
reactome	R-HSA-180689	APOBEC3G mediated resistance to HIV-1 infection	rs7742369,rs1776897
reactome	R-HSA-5624958	ARL13B-mediated ciliary trafficking of INPP5E	
reactome	R-HSA-170984	ARMS-mediated activation	rs7587928
reactome	R-HSA-380994	ATF4 activates genes in response to endoplasmic reticulum  stress	rs2217332
reactome	R-HSA-381183	ATF6 (ATF6-alpha) activates chaperone genes	
reactome	R-HSA-381033	ATF6 (ATF6-alpha) activates chaperones	
reactome	R-HSA-1296025	ATP sensitive Potassium channels	rs5219,rs5215
reactome	R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	rs9357155,rs831571
reactome	R-HSA-8854518	AURKA Activation by TPX2	rs784411,rs2236164,rs7798500,rs1007738,rs13224682,rs4906172,rs2301436
reactome	R-HSA-5467340	AXIN missense mutants destabilize the destruction complex	rs11158493
reactome	R-HSA-4839735	AXIN mutants destabilize the destruction complex, activating WNT signaling	rs11158493
reactome	R-HSA-2161541	Abacavir metabolism	
reactome	R-HSA-2161517	Abacavir transmembrane transport	rs2231142,rs1564348,rs1481012,rs651164,rs7758229,rs9364554
reactome	R-HSA-2161522	Abacavir transport and metabolism	rs2231142,rs1564348,rs1481012,rs651164,rs7758229,rs9364554
reactome	R-HSA-73930	Abasic sugar-phosphate removal via the single-nucleotide replacement pathway	
reactome	R-HSA-2978092	Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate	
reactome	R-HSA-167242	Abortive elongation of HIV-1 transcript in the absence of Tat	rs6761
reactome	R-HSA-156582	Acetylation	rs1495741
reactome	R-HSA-264642	Acetylcholine Neurotransmitter Release Cycle	rs10121009,rs10455248
reactome	R-HSA-181431	Acetylcholine binding and downstream events	rs950776,rs1051730,rs8042374,rs12914385
reactome	R-HSA-399997	Acetylcholine regulates insulin secretion	rs3889237,rs6056209,rs6118083,rs11880198,rs1869901
reactome	R-HSA-1300645	Acrosome Reaction and Sperm:Oocyte Membrane Binding	
reactome	R-HSA-2122948	Activated NOTCH1 Transmits Signal to the Nucleus	rs10483853,rs2273061
reactome	R-HSA-9032845	Activated NTRK2 signals through CDK5	rs6265
reactome	R-HSA-9028731	Activated NTRK2 signals through FRS2 and FRS3	rs10748128,rs6265
reactome	R-HSA-9032500	Activated NTRK2 signals through FYN	rs4764039,rs4764043,rs6265,rs13088462,rs2160519
reactome	R-HSA-9028335	Activated NTRK2 signals through PI3K	rs3805236,rs6265
reactome	R-HSA-9026527	Activated NTRK2 signals through PLCG1	rs6265
reactome	R-HSA-9026519	Activated NTRK2 signals through RAS	rs6265
reactome	R-HSA-9603381	Activated NTRK3 signals through PI3K	rs2943641,rs7578326,rs9806762
reactome	R-HSA-9034793	Activated NTRK3 signals through PLCG1	rs9806762
reactome	R-HSA-9034864	Activated NTRK3 signals through RAS	rs9806762
reactome	R-HSA-5625886	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	rs5919432,rs6625163,rs2735839,rs5031002,rs4742269
reactome	R-HSA-2033519	Activated point mutants of FGFR2	rs1458038,rs4338740,rs2981579,rs1219648,rs17369571,rs2121875,rs152528
reactome	R-HSA-111452	Activation and oligomerization of BAK protein	rs210138,rs210134
reactome	R-HSA-165158	Activation of AKT2	rs6051520
reactome	R-HSA-399710	Activation of AMPA receptors	rs12658202
reactome	R-HSA-9619483	Activation of AMPK downstream of NMDARs	rs242557,rs7795096,rs7805747,rs8070723
reactome	R-HSA-176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	rs2431697,rs16912145,rs1493682,rs9357155,rs831571
reactome	R-HSA-176187	Activation of ATR in response to replication stress	rs690705,rs2069408,rs16991615,rs730566,rs236114
